Classifier,Feature Selection Method,Class,Accuracy,TPR,FPR,Precision,Recall,F Score,MCC,ROC,TN,FP,FN,TP
Random Forest,F Score Feature Selection,Weighted,0.7522028861854396,0.7522028861854396,0.2477971138145603,0.8950657381797837,0.7522028861854396,0.8146625053021026,-0.0219089248584869,0.4563214952835169,100984,27646,6044,1284
Random Forest,Forward SFS,Heart Attack = 1,0.7349107812706865,0.7644950633600249,0.235504936639975,0.9447759043089784,0.7644950633600249,0.8451281610553681,-0.0106040393132937,0.5044773876877486,98337,30293,5748,1580
Random Forest,Forward SFS,Heart Attack = 2,0.7349107812706865,0.2156113537117903,0.7843886462882096,0.0495717378345307,0.2156113537117903,0.080610188515599,-0.0106040393132937,0.5044773876877486,98337,30293,5748,1580
Random Forest,Forward SFS,Weighted,0.7349107812706865,0.7349107812706865,0.2650892187293134,0.8965252965336009,0.7349107812706865,0.8039214082142596,-0.0106040393132937,0.5044773876877486,98337,30293,5748,1580
Random Forest,RFE Feature Selection,Heart Attack = 1,0.0651524735580105,0.0134572028298219,0.986542797170178,0.8959627329192547,0.0134572028298219,0.0265161379268087,-0.0266574909176788,0.5418609311574413,1731,126899,201,7127
Random Forest,RFE Feature Selection,Heart Attack = 2,0.0651524735580105,0.97257096069869,0.02742903930131,0.0531762493844477,0.97257096069869,0.1008390282553022,-0.0266574909176788,0.5418609311574413,1731,126899,201,7127
Random Forest,RFE Feature Selection,Weighted,0.0651524735580105,0.0651524735580105,0.9348475264419894,0.8505373857433395,0.0651524735580105,0.0305220672603323,-0.0266574909176788,0.5418609311574413,1731,126899,201,7127
Random Forest,Select from Model Feature Selection,Heart Attack = 1,0.8223127730622692,0.8563010184249398,0.14369898157506023,0.9510101882231048,0.8563010184249398,0.901174064225813,0.0521355597195172,0.6207457221756182,110146,18484,5674,1654
Random Forest,Select from Model Feature Selection,Heart Attack = 2,0.8223127730622692,0.22570960698689957,0.7742903930131004,0.0821332803654782,0.22570960698689957,0.1204398165004005,0.0521355597195172,0.6207457221756182,110146,18484,5674,1654
Random Forest,Select from Model Feature Selection,Weighted,0.8223127730622692,0.8223127730622692,0.17768722693773073,0.9041785933130541,0.8223127730622692,0.8590932703973378,0.0521355597195172,0.6207457221756183,110146,18484,5674,1654
